,service_type,p-value,direction
351,Income Support Case Manager; Supervisor or Office Complaint All Offices,0.005518210635277248,8.3
352,CCOC Community Association Manual and Resource Guide,0.0055363410723658114,-1.0857142857142859
353,Finding Child Care Providers,0.005581537935852895,-0.7285714285714286
354,Roadway Resurfacing or Repaving,0.005602378270597467,-11.5
355,New County Building Design and Construction Information,0.005652526562219237,-0.5714285714285714
356,Retiree - Long Term Care Insurance,0.005652526562219237,-0.5714285714285714
357,Avery Road Treatment Center,0.0058131011666305256,-1.4571428571428573
358,Reporting Animal Complaints to the Office of Animal Services,0.005936758937734003,22.0
359,Obtain a Birth Certificate,0.005939945505904532,-37.5
360,COVID-19 Evictions and Utility Disconnections Suspended,0.00597375522594164,28.8
361,TRiPS Commuter Store,0.005997801641920059,-2.128571428571428
362,Medicaid Transportation,0.006110494825312807,-7.5285714285714285
363,Schedule DPS Fire Protection/Fire Alarm System Inspection,0.006213004353614429,-7.471428571428573
364,Fax numbers for the Office of Human Resources,0.006305836869028409,-2.7714285714285714
365,"Pedestrian, Bicycle, Traffic and Safety Advisory Committee",0.006412424853139124,-0.9571428571428572
366,MPIA Departmental Contacts,0.006423764678911278,-0.9285714285714286
367,"Questions Related to a Specific Press Release, Press Event, or Statement From County Executive",0.006423764678911278,-0.9285714285714286
368,AccessMCG - Can't Remember or Forgot Login ID,0.006477588958467389,-0.7142857142857143
369,Frequency of Housing Code Enforcement Multi-family Inspections,0.006477588958467389,-0.7142857142857143
370,Call-n-Ride Application or Recertification Application,0.006519258266083405,-3.757142857142858
371,Siebel User Training,0.006598677899481601,6.114285714285715
372,"Birth certificate, Death Certificates, Divorce Decree, Marriage Verification",0.006682072877128469,-31.214285714285715
373,COVID-19 Coronavirus General Information,0.006709399032649606,231.5
374,Police Department Information,0.006710781060433009,-104.92857142857144
375,"Current Active Employees' Change of Address, Phone Number or Emergency Contacts",0.006723515763058952,1.4
376,Montgomery Cares Clinics for Low Income Adults,0.006778562065988995,12.442857142857143
377,Appeal Parking Ticket,0.006791764529382854,-8.157142857142858
378,Random Selection Drawing Results For MPDU Sales,0.006802177826898858,-1.4
379,New Curb Request,0.006865248772862024,-1.7428571428571429
380,Workforce Housing Program,0.0070917700325404285,-1.9285714285714284
381,DHCA Housing Code Enforcement Staff Complaint,0.007121970047830817,-3.9142857142857137
382,Permit Status,0.007127956140239014,115.98571428571438
383,Moderately Priced Dwelling Unit (MPDU) Office Location,0.0071872683814518485,-2.1142857142857143
384,"Ride On Real Time Message ""Scheduled Time""",0.007499650791931424,-22.371428571428574
385,HELP Non Profit Community Groups,0.007506501608148193,33.0
386,"Bed Bugs in Private Homes, Hotels or Motels",0.007526519797131049,-1.0
387,Mobile Medical Care Walk In Clinics,0.007636456934878794,-2.1714285714285713
388,TB Symptoms Requiring an Immediate Referral,0.007638553108116273,-2.4714285714285715
389,Commission on Aging,0.007757190562661395,-0.7571428571428571
390,"Department of Permitting Services Fee Schedule for: Commercial Building, Demolition, Retaining Walls, Commercial Use and Occupancy",0.007809590542525292,-5.585714285714285
391,Information Printed on the Tax Bill,0.007820475015127074,-21.2
392,Unidentified Montgomery County Government Property Tax Refund,0.00795253078743753,-5.7857142857142865
393,State of Maryland Information Center,0.008028686878248805,48.057142857142864
394,Employee - BCBS Blue Choice Advantage Network,0.008088745097244983,-0.8571428571428571
395,Missed Appointment Income Supports or Phone Interview,0.00837465785588964,-53.0
396,Reconsideration Recertification or Redetermination Question - Silver Spring,0.008385608442780117,-5.5
397,Specified Low Income Medicare Beneficiary or Qualified Medicare Beneficiary SLMB or QMB for all Public Assistance Offices,0.008386907395715116,10.057142857142857
398,Income Support Application Status: Food Stamps TCA Medicaid TDAP Silver Spring Office,0.008536089498807579,-87.71428571428571
399,COVID-19 2021 Rental Housing Licensing Renewal and Common Ownership Communities (COC) Annual Registration on Hold,0.008547113233640517,57.9
400,Electronic Benefits Transfer (EBT) Card  Rockville,0.008630653641663225,-14.785714285714286
401,Apply for Medicaid or Medical Assistance Silver Spring,0.008681708868058961,-9.785714285714286
402,MCGEO Members Sick Leave Bank,0.00870641713288393,-1.2571428571428571
403,Income Support Application Request: Food Stamps Medical Assistance Temporary Cash Assistance or Temporary Disability Assistance Program and Offices Fax Numbers,0.008708893876970856,-30.5
404,Unsolicited Phone Calls Demanding Money,0.00875352204226329,-1.6
405,License Requirement For Room Rental Inside Household,0.008883847039482468,-2.957142857142857
406,Income Support Application Status: Food Stamps TCA Medicaid TDAP Rockville Office,0.008884670142183741,-163.14285714285714
407,"Mechanical Permit Requirement for Replacement of Natural Gas Fired Furnaces, Propane and Natural Gas Appliances",0.008958888418453511,-2.8285714285714287
408,Apply for Medicaid or Medical Assistance Germantown,0.00901636098757468,-8.785714285714286
409,AccessMCG (FIN Payroll) - Employees Viewing Pay Advice or Payslip,0.009106153759546399,1.5
410,City of Gaithersburg Permits,0.009120093635609125,-4.1571428571428575
411,United States Department of Labor Employment Call Center,0.00927037671870776,14.72857142857143
412,Business Hours for the Department of Housing and Community Affairs (DHCA) Housing Code Enforcement Unit,0.009273336541421819,-1.7571428571428571
413,Reconsideration Recertification or Redetermination Question - Rockville,0.00936218778382117,-11.714285714285714
414,Change Line - Rockville,0.009428878940278813,-15.285714285714286
415,"Board of Elections Location, Mailing Address, and Business Hours",0.009448627332263008,28.357142857142858
416,COVID-19 Montgomery County Tax Payments and Internal Revenue Service (IRS) Filing Modifications,0.009462668638496314,9.1
417,Sheriff's Office Hours of Operation,0.009559624180045294,-5.171428571428571
418,Apply to Food Stamps Program  Rockville Office,0.009638688237977599,-16.428571428571427
419,Apply to Food Stamps Program Silver Spring Office,0.009702510146133938,-12.714285714285714
420,Fleet Management Services Information,0.009732427213070098,-2.5142857142857142
421,Dockless Bikeshare Demonstration Program,0.009764380094607778,-2.3142857142857145
422,Montgomery County Government Workers' Compensation,0.009768914089735653,-1.6
423,Food Stamps and Cash Assistance Availability in Account Germantown,0.009779690275990821,-10.142857142857142
424,Tows,0.009836615580149295,-5.300000000000001
425,MANNA Food Center Referral,0.0098575812630021,114.80000000000001
426,Montgomery County School Crossing Guards,0.009940570934265723,-0.7857142857142857
427,Police Towing Complaints,0.009990684849755092,0.9
428,Income Support Application Status: Food Stamps TCA Medicaid TDAP Germantown Office,0.010087022107116261,-114.57142857142857
429,Electronic Benefits Transfer (EBT) Card  Germantown,0.0101205413738571,-12.071428571428571
430,Change Line - Germantown,0.01014301705888964,-13.142857142857142
431,Metro Contact Information,0.010198637113292346,-30.200000000000003
432,Rental Assistance Program (RAP) Check or Benefit,0.010209635624403978,1.8571428571428572
433,How to Obtain a Moderately Priced Dwelling Unit  (MPDU) Rental Apartment,0.01023202181575443,-10.628571428571426
434,Automatic Fire Sprinklers in Homes,0.010249241381594538,-0.8142857142857142
435,How to Request an Absentee Ballot Application,0.010378498612243195,25.885714285714286
436,Children's Dental Services - Healthy Smiles,0.010384909596709907,-3.2
437,Sanitation Concerns in Restaurant or Other Food Service Facility,0.010603578400227196,-7.914285714285715
438,Parking Ticket Enforcement Officer Complaint,0.010630542670496896,-1.0142857142857142
439,Apply for Medicaid or Medical Assistance Rockville,0.01071327185718333,-16.785714285714285
440,Pro-rating of Rental Licensing Fee,0.010849526597344498,-1.7857142857142856
441,Income Support Caseworker Complaint Rockville Office,0.010856609268101806,-6.785714285714286
442,Ride On Flex,0.010874889459541192,-7.728571428571429
443,Request County to Plant a Tree,0.011030698640232393,60.91428571428572
444,Board of Elections Voter Services,0.011047578254103928,5.242857142857143
445,Sprinkler Installation,0.011059412125611073,-0.9
446,State Traffic Cameras,0.011059412125611073,-0.9
447,Food Stamps and Cash Assistance Availability in Account Rockville,0.011141821557068169,-12.642857142857142
448,Description of the Moderately Priced Dwelling Unit (MPDU) Program,0.011365109410093074,-3.128571428571429
449,Office of Health Care Quality Licensing and Exempt Building Issues,0.01138525507192989,1.0571428571428572
450,Income Support Inquiries for District Office 154,0.011479065094067126,-3.4285714285714284
451,Application Process for Sign Permits,0.01152521256069411,-3.5
452,Reconsideration Recertification or Redetermination Question - Germantown,0.011537373532576814,-9.0
453,COVID-19 New Employees Enrollment Information,0.011638368466420503,2.5
454,Apply to Food Stamps Program Germantown Office,0.011684291955887416,-9.214285714285714
455,Office of Health Care Quality Licensing,0.011838028025660799,-0.7142857142857143
456,COVID-19 Transportation Updates,0.011879885594370202,1.9
457,Town of Laytonsville,0.011894121122954376,0.8857142857142858
458,Questions regarding Absentee Ballots for Military or individuals overseas,0.011964617739524319,1.1285714285714286
459,Billing Questions Related to Fire Code Compliance,0.012119190589531162,-23.928571428571427
460,Ride On Request for Camera Footage,0.01218245810678038,-1.3571428571428572
461,Sign Permit,0.012183500911882536,-4.228571428571429
462,Grass Damage from Non-Snow Events,0.012309984170458161,-8.0
463,Contact Income Supports Case Manager Rockville,0.012388896313062867,184.3
464,Licensee Credits,0.012407950227321966,-1.4142857142857141
465,Income Supports Caseworker Complaint Germantown Office,0.01252730245799835,-3.2142857142857144
466,Age at Which Children Can be Left Home Alone,0.012634147057573005,-1.8571428571428572
467,Change Line - Silver Spring,0.012656975165074648,-9.714285714285714
468,Received Parking Ticket with Time Left on Meter,0.012686989874283162,-0.9428571428571428
469,"Maternity Partnership Program, Case Management and Education - Silver Spring",0.012717440141545163,-5.428571428571429
470,Electrical Permit Requirement for Commercial Low Voltage Work,0.012759758046523944,-3.057142857142857
471,"Food, Nutrition, Meals on Wheels (MOW), Senior Lunch Program",0.012864553088587558,4.314285714285714
472,Medical Examiner,0.01290987403663316,-0.9285714285714286
473,M-NCPPC Nature Centers,0.012986865174166692,-0.5
474,Community Use Fees,0.012986865174166692,-0.5
475,Pay by Cell Ticket Issued,0.012986865174166692,-0.5
476,Recovered Vehicle,0.012986865174166692,-0.5
477,West Nile Virus,0.012986865174166692,-0.5
478,Employee - Vision Insurance Assistance,0.012992786487757368,1.2
479,Maryland Department of Juvenile Services,0.01302075092776285,-1.5428571428571427
480,Use Silver Spring Civic Building at Veterans Plaza,0.01304963777596548,-0.7571428571428571
481,City of Rockville Senior Center,0.013049637775965486,-0.7571428571428571
482,Residential Kitchen Range Hoods,0.013049637775965486,-0.7571428571428571
483,Minimum State Supplement Benefits and Food Stamps,0.013062682735283403,4.428571428571429
484,"Termination of case: food stamps, TCA, Medicaid, TDAP  - Rockville",0.013069396139249628,-9.714285714285714
485,Interior Maintenance of Commercial Properties,0.013153322896521016,-1.3714285714285717
486,Absentee Ballot for General Election After Vote Via Absentee Ballot During Past Primary and/or General Elections,0.013275877464573012,1.3
487,AccessMCG (FIN Payroll) - Temporary Login ID and Temporary Password Assistance,0.013275877464573012,1.3
488,License Fees for Residential Rental Facilities,0.013346516838961937,-3.9285714285714284
489,Tree Montgomery - Free Trees on Private Property,0.013507594407198061,-5.457142857142857
490,Child and Adolescent Behavioral Health Outpatient Clinic,0.013538491944632901,-2.1
491,Permit Requirement for Dumpster or Pod in Driveway,0.013550353506632215,-5.357142857142857
492,Specified Low Income Medicare Beneficiary or Qualified Medicare Beneficiary SLMB or QMB,0.013615881197312054,-8.357142857142858
493,Absentee Ballot Questions,0.01363932895979936,21.671428571428574
494,"Termination of case: food stamp, TCA, Medicaid, TDAP  - Germantown",0.013643720604489982,-6.357142857142857
495,Health and Human Services Guide to the Community or Request HHS Presence at a Health Fair or Event,0.013722761088137374,-1.0857142857142859
496,Pay Parking Meter Ticket,0.013861806556443246,-2.2571428571428567
497,"Renew or Apply for Fire Code Compliance, Operational, or General Fire Permits",0.013864042027728314,-71.74285714285713
498,Contact Montgomery County Government,0.013942157475046029,17.314285714285717
